TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Zfp329	Gripap1	0.99573	50.19	0.685	rgb(225, 86, 88)	1.9947	2,2
Zfp787	Ocrl	-0.99573	50.19	-6.9E-01	rgb( 67,126,243)	1.9947	2,2
Adnp	Hist1h1b	-0.99562	50.16	-6.6E-01	rgb( 75,130,242)	1.9941	2,2
Cebpg	Pck2	0.99562	50.16	0.658	rgb(224, 91, 93)	1.9941	2,2
Epas1	Gata3	0.99562	50.16	0.662	rgb(224, 91, 92)	1.9941	2,2
Irf1	Gbp7	0.99562	50.16	0.659	rgb(224, 91, 92)	1.9941	None
Irf4	Crtam	-0.99562	50.16	-6.6E-01	rgb( 74,130,242)	1.9941	2,2
Zhx1	Ptprc	0.99562	50.16	0.658	rgb(224, 91, 93)	1.9941	2,2
Elf1	Cd226	0.99555	50.19	0.692	rgb(225, 85, 86)	1.9947	None
Sox5	Serpinf1	0.99555	50.19	0.693	rgb(225, 85, 86)	1.9947	None
Sp2	Auh	-0.99555	50.19	-6.9E-01	rgb( 66,125,243)	1.9947	None
Tead1	Zfp608	0.99555	50.19	0.69	rgb(225, 85, 87)	1.9947	None
Arid5a	Sbno2	0.99542	50.18	0.684	rgb(225, 86, 88)	1.9945	2,2
C030039L03Rik	Prkab2	0.99542	50.18	0.696	rgb(225, 84, 85)	1.9945	2,2
Klf3	Six4	0.99542	50.18	0.679	rgb(224, 87, 89)	1.9945	None
Nfkb1	Nupr1	0.99542	50.18	0.684	rgb(225, 86, 88)	1.9945	None
Spib	Mx1	-0.99542	50.18	-6.8E-01	rgb( 68,127,243)	1.9945	2,2
Zfp429	Apold1	-0.99542	50.18	-6.8E-01	rgb( 70,127,243)	1.9945	2,2
Zfp536	Mapk8ip1	0.99542	50.18	0.681	rgb(224, 87, 88)	1.9945	2,2
C030039L03Rik	Agrp	0.99516	50.15	0.645	rgb(224, 94, 95)	1.9939	2,2
Foxa1	Ergic1	-0.99516	50.15	-6.5E-01	rgb( 76,131,242)	1.9939	None
Gabpa	A430005L14Rik	0.99516	50.15	0.654	rgb(224, 92, 93)	1.9939	None
Hif1a	Pla2g12a	0.99516	50.15	0.651	rgb(224, 93, 94)	1.9939	None
Klf4	H2-Eb1	0.99516	50.15	0.649	rgb(224, 93, 94)	1.9939	None
Nfkb1	Arhgap22	0.99516	50.15	0.646	rgb(224, 94, 95)	1.9939	None
Nr4a3	Tnfsf11	0.99516	50.15	0.647	rgb(224, 93, 95)	1.9939	2,2
Pou2af1	Il10ra	-0.99516	50.15	-6.5E-01	rgb( 75,131,242)	1.9939	2,2
Sox4	Fyn	0.99516	50.15	0.648	rgb(224, 93, 95)	1.9939	None
Trp53	Calhm2	0.99516	50.15	0.645	rgb(224, 94, 95)	1.9939	None
Trps1	Tspan2	0.99516	50.15	0.648	rgb(224, 93, 95)	1.9939	2,2
Whsc1	Slc4a8	0.99516	50.15	0.65	rgb(224, 93, 94)	1.9939	2,2
Zfp280b	Zfp467	0.99516	50.15	0.654	rgb(224, 92, 93)	1.9939	2,2
Zfp870	Tbccd1	0.99516	50.15	0.654	rgb(224, 92, 93)	1.9939	2,2
Egr2	Maff	0.99495	50.18	0.685	rgb(225, 86, 88)	1.9945	None
Ets1	Abcg1	0.99495	50.18	0.683	rgb(225, 87, 88)	1.9945	None
Mxi1	Cxcr4	0.99495	50.18	0.676	rgb(224, 88, 89)	1.9945	None
Mybl1	Dock3	0.99495	50.18	0.678	rgb(224, 87, 89)	1.9945	None
Nr1h2	Nudt4	-0.99495	50.18	-6.8E-01	rgb( 68,127,243)	1.9945	None
Nr1h2	Sgsm2	0.99495	50.18	0.676	rgb(224, 88, 89)	1.9945	None
Pou2f2	Egr2	-0.99495	50.18	-6.8E-01	rgb( 69,127,243)	1.9945	None
Rora	Tfpi	-0.99495	50.18	-6.8E-01	rgb( 68,127,243)	1.9945	None
Rxra	Ptger4	0.99495	50.18	0.68	rgb(224, 87, 89)	1.9945	None
Sox5	Rnh1	0.99495	50.18	0.684	rgb(225, 86, 88)	1.9945	None
Tead1	Ikzf4	0.99495	50.18	0.676	rgb(224, 88, 89)	1.9945	None
Cebpg	Gpt2	0.99465	50.15	0.655	rgb(224, 92, 93)	1.9939	None
Cggbp1	Scyl2	0.99465	50.15	0.646	rgb(224, 94, 95)	1.9939	2,2
Irf1	Tgtp2	0.99465	50.17	0.672	rgb(224, 89, 90)	1.9943	None
Irf7	Mx1	0.99465	50.15	0.655	rgb(224, 92, 93)	1.9939	None
Irf7	Mx2	0.99465	50.15	0.651	rgb(224, 93, 94)	1.9939	None
Irf7	Pydc4	0.99465	50.17	0.673	rgb(224, 88, 90)	1.9943	2,2
Jun	Kdelc2	-0.99465	50.17	-6.7E-01	rgb( 71,128,243)	1.9943	None
Klf6	Trp53i13	0.99465	50.15	0.653	rgb(224, 92, 94)	1.9939	2,2
Mxd3	Coro7	0.99465	50.15	0.648	rgb(224, 93, 95)	1.9939	None
Mxd4	Ypel3	0.99465	50.15	0.654	rgb(224, 92, 93)	1.9939	2,2
Nr4a2	Crem	0.99465	50.15	0.649	rgb(224, 93, 94)	1.9939	2,2
Rbpj	Nckap1	0.99465	50.15	0.651	rgb(224, 93, 94)	1.9939	2,2
Sp110	Ly6c1	0.99465	50.16	0.656	rgb(224, 92, 93)	1.9941	2,2
Tbx21	Notch1	0.99465	50.15	0.651	rgb(224, 93, 94)	1.9939	2,2
Tcf12	Mycbp2	0.99465	50.15	0.647	rgb(224, 93, 95)	1.9939	2,2
Zfp202	Dusp12	0.99465	50.15	0.647	rgb(224, 93, 95)	1.9939	2,2
Adnp	Hist1h1a	-0.99445	50.17	-6.7E-01	rgb( 72,129,242)	1.9943	2,2
Ar	Ifi203	0.99445	50.17	0.668	rgb(224, 89, 91)	1.9943	None
Foxa1	Loxl2	0.99445	50.17	0.669	rgb(224, 89, 91)	1.9943	None
Irf5	Gna15	0.99445	50.17	0.671	rgb(224, 89, 90)	1.9943	2,2
Jun	Csf2	0.99445	50.17	0.668	rgb(224, 89, 91)	1.9943	None
Meis3	Cd86	0.99445	50.17	0.667	rgb(224, 90, 91)	1.9943	2,2
Nr3c2	Trps1	0.99445	50.17	0.673	rgb(224, 89, 90)	1.9943	2,2
Rorc	C2cd4d	0.99445	50.17	0.67	rgb(224, 89, 90)	1.9943	2,2
Trp73	Aqp3	0.99445	50.17	0.667	rgb(224, 90, 91)	1.9943	None
Zbtb7a	Nfatc1	-0.99445	50.17	-6.7E-01	rgb( 71,128,242)	1.9943	None
