TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Nlrc5	0.99463	0.99	0.127	rgb(218,193,193)	1.98	2,2
Tbx21	Tbkbp1	0.99463	0.99	0.719	rgb(225, 80, 81)	1.98	2,2
Tbx21	Tgtp2	0.99463	0.99	0.09	rgb(218,200,200)	1.98	2,2
Trim30a	Irf7	0.99463	0.99	0.283	rgb(220,163,163)	1.98	2,2
Trim30a	Trim12c	0.99463	0.99	0.336	rgb(221,153,153)	1.98	2,2
Trim30a	Xaf1	0.99463	0.99	0.411	rgb(222,138,139)	1.98	2,2
Zfp365	4632434I11Rik	0.99463	0.99	0.171	rgb(219,184,185)	1.98	2,2
Zfp365	9030617O03Rik	0.99463	0.99	0.336	rgb(221,153,153)	1.98	2,2
Zfp365	Ccng1	0.99463	0.99	0.287	rgb(220,162,163)	1.98	2,2
Zfp365	Phlda3	0.99463	0.99	0.218	rgb(219,175,176)	1.98	2,2
Zfp365	Psrc1	0.99463	0.99	0.517	rgb(223,118,119)	1.98	2,2
Zfp365	Slc19a2	0.99463	0.99	0.396	rgb(221,141,142)	1.98	2,2
Zfp365	Zmat3	0.99463	0.99	0.328	rgb(221,154,155)	1.98	2,2
Zfp367	Dtl	0.99463	0.99	0.234	rgb(220,172,173)	1.98	2,2
Zfp367	Exo1	0.99463	0.99	0.236	rgb(220,172,172)	1.98	2,2
Zfp367	Rpa2	0.99463	0.99	0.308	rgb(220,158,159)	1.98	2,2
Zfp367	Wdr76	-0.99463	0.99	-1.9E-01	rgb(175,192,224)	1.98	2,2
Zfp385a	4632434I11Rik	0.99463	0.99	0.145	rgb(219,189,190)	1.98	2,2
Zfp385a	9030617O03Rik	0.99463	0.99	0.395	rgb(221,142,142)	1.98	2,2
Zfp385a	9230114K14Rik	0.99463	0.99	0.145	rgb(219,189,190)	1.98	2,2
Zfp385a	Abhd4	-0.99463	0.99	-1.6E-01	rgb(182,196,223)	1.98	2,2
Zfp385a	Ccng1	0.99463	0.99	0.39	rgb(221,143,143)	1.98	2,2
Zfp385a	Ercc5	0.99463	0.99	0.206	rgb(219,178,178)	1.98	2,2
Zfp385a	Phlda3	0.99463	0.99	0.404	rgb(221,140,141)	1.98	2,2
Zfp385a	Plxna1	0.99463	0.99	0.244	rgb(220,170,171)	1.98	2,2
Zfp385a	Psrc1	0.99463	0.99	0.341	rgb(221,152,153)	1.98	2,2
Zfp385a	Ptp4a3	0.99463	0.99	0.393	rgb(221,142,143)	1.98	2,2
Zfp385a	Rnf169	0.99463	0.99	0.414	rgb(222,138,139)	1.98	2,2
Zfp385a	Slc19a2	0.99463	0.99	0.297	rgb(220,160,161)	1.98	2,2
Zfp385a	Zfp365	0.99463	0.99	0.22	rgb(219,175,175)	1.98	2,2
Zfp385a	Zmat3	0.99463	0.99	0.472	rgb(222,127,128)	1.98	2,2
Zfp750	Psrc1	0.99463	0.99	0.036	rgb(217,210,210)	1.98	2,2
Ahrr	Gpr15	0.98997	0.98	0.238	rgb(220,171,172)	1.96	2,2
Arid5a	Susd3	0.98997	0.98	0.047	rgb(218,208,208)	1.96	None
Bcl6	Ddx11	0.98997	0.98	0.361	rgb(221,148,149)	1.96	None
Bcl6	Ikzf2	0.98997	0.98	0.04	rgb(217,209,209)	1.96	None
Bcl6	Il1r1	0.98997	0.98	0.182	rgb(219,182,183)	1.96	None
Bcl6	Lpxn	-0.98997	0.98	-1.9E-02	rgb(213,214,218)	1.96	None
Cebpb	Trib3	-0.98997	0.98	-2.6E-02	rgb(211,214,218)	1.96	None
Cebpg	Sars	0.98997	0.98	0.225	rgb(219,174,175)	1.96	2,2
Crem	Nr4a3	0.98997	0.98	0.231	rgb(220,173,173)	1.96	None
Crem	Vps37b	0.98997	0.98	0.408	rgb(221,139,140)	1.96	None
Ddit3	Psph	0.98997	0.98	0.192	rgb(219,180,181)	1.96	2,2
Egr1	Egr4	0.98997	0.98	0.116	rgb(218,195,195)	1.96	None
Egr1	Nr4a1	0.98997	0.98	0.308	rgb(220,158,159)	1.96	None
Egr1	Zfp36	0.98997	0.98	0.082	rgb(218,201,202)	1.96	None
Egr2	Arhgef6	0.98997	0.98	0.027	rgb(217,212,212)	1.96	None
Egr3	Ifih1	0.98997	0.98	0.079	rgb(218,202,202)	1.96	None
Egr3	Mctp2	-0.98997	0.98	-2.5E-01	rgb(162,183,227)	1.96	None
Egr3	Mina	-0.98997	0.98	-5.3E-01	rgb(102,147,237)	1.96	None
Egr4	Egr3	-0.98997	0.98	-7.8E-03	rgb(215,216,217)	1.96	None
Egr4	Ifih1	0.98997	0.98	0.106	rgb(218,197,197)	1.96	None
Elf1	Fam111a	0.98997	0.98	0.25	rgb(220,169,170)	1.96	None
Elk3	Antxr2	0.98997	0.98	0.137	rgb(219,191,191)	1.96	None
Elk3	Nt5e	0.98997	0.98	0.385	rgb(221,143,144)	1.96	2,2
Elk3	Ubash3b	0.98997	0.98	0.386	rgb(221,143,144)	1.96	2,2
Epas1	Cnnm1	0.98997	0.98	0.441	rgb(222,133,134)	1.96	2,2
Erf	Ssbp4	0.98997	0.98	0.145	rgb(219,189,190)	1.96	None
Erg	Fes	-0.98997	0.98	-1.7E-01	rgb(179,194,224)	1.96	None
Ets1	Capn2	0.98997	0.98	0.429	rgb(222,135,136)	1.96	None
Ets1	Cd2	0.98997	0.98	0.232	rgb(220,173,173)	1.96	None
Ets1	Nlrc3	0.98997	0.98	0.563	rgb(223,109,111)	1.96	None
Ets1	Ssh2	0.98997	0.98	0.119	rgb(218,194,194)	1.96	None
Ets1	Tspan5	0.98997	0.98	0.223	rgb(219,174,175)	1.96	None
